No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
369;JAGAKARSA;Kota Jakarta Selatan;2021;Mei;5112,02;2549,36;881,82;162,56;46,01;1173,21;35,78;55,21;75,66;21,47;39,87;71,57;5
370;JATINEGARA;Kota Jakarta Timur;2021;Mei;5888,7;2936,69;1015,80;187,26;53,00;1351,46;41,22;63,60;87,15;24,73;45,93;82,44;5
371;JOHAR BARU;Kota Jakarta Pusat;2021;Mei;1646,5;821,11;284,02;52,36;14,82;377,87;11,53;17,78;24,37;6,92;12,84;23,05;5
372;KALIDERES;Kota Jakarta Barat;2021;Mei;7167,9;3574,63;1236,46;227,94;64,51;1645,03;50,18;77,41;106,08;30,11;55,91;100,35;5
373;KEBAYORAN BARU;Kota Jakarta Selatan;2021;Mei;5162,4;2574,49;890,51;164,16;46,46;1184,77;36,14;55,75;76,40;21,68;40,27;72,27;5
374;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Mei;6183,4;3083,66;1066,64;196,63;55,65;1419,09;43,28;66,78;91,51;25,97;48,23;86,57;5
375;KEBON JERUK;Kota Jakarta Barat;2021;Mei;2153,36;1073,88;371,45;68,48;19,38;494,20;15,07;23,26;31,87;9,04;16,80;30,15;5
376;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;Mei;289,78;144,51;49,99;9,22;2,61;66,50;2,03;3,13;4,29;1,22;2,26;4,06;5
377;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;Mei;117,9;58,80;20,34;3,75;1,06;27,06;0,83;1,27;1,74;0,50;0,92;1,65;5
378;KELAPA GADING;Kota Jakarta Utara;2021;Mei;3823,14;1906,60;659,49;121,58;34,41;877,41;26,76;41,29;56,58;16,06;29,82;53,52;5
379;KEMAYORAN;Kota Jakarta Pusat;2021;Mei;4429,38;2208,93;764,07;140,85;39,86;1016,54;31,01;47,84;65,55;18,60;34,55;62,01;5
380;KEMBANGAN;Kota Jakarta Barat;2021;Mei;5114,2;2550,45;882,20;162,63;46,03;1173,71;35,80;55,23;75,69;21,48;39,89;71,60;5
381;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;Mei;789,58;393,76;136,20;25,11;7,11;181,21;5,53;8,53;11,69;3,32;6,16;11,05;5
382;KOJA;Kota Jakarta Utara;2021;Mei;4509,56;2248,92;777,90;143,40;40,59;1034,94;31,57;48,70;66,74;18,94;35,17;63,13;5
383;KRAMAT JATI;Kota Jakarta Timur;2021;Mei;3962,32;1976,01;683,50;126,00;35,66;909,35;27,74;42,79;58,64;16,64;30,91;55,47;5
384;MAKASAR;Kota Jakarta Timur;2021;Mei;3074,86;1533,43;530,41;97,78;27,67;705,68;21,52;33,21;45,51;12,91;23,98;43,05;5
385;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Mei;2793,04;1392,89;481,80;88,82;25,14;641,00;19,55;30,16;41,34;11,73;21,79;39,10;5
386;MATRAMAN;Kota Jakarta Timur;2021;Mei;2635,78;1314,46;454,67;83,82;23,72;604,91;18,45;28,47;39,01;11,07;20,56;36,90;5
387;MENTENG;Kota Jakarta Pusat;2021;Mei;2220,96;1107,59;383,12;70,63;19,99;509,71;15,55;23,99;32,87;9,33;17,32;31,09;5
388;Pademangan;Kota Jakarta Utara;2021;Mei;3072,12;1532,07;529,94;97,69;27,65;705,05;21,50;33,18;45,47;12,90;23,96;43,01;5
389;PALMERAH;Kota Jakarta Barat;2021;Mei;3873,08;1931,50;668,11;123,16;34,86;888,87;27,11;41,83;57,32;16,27;30,21;54,22;5
390;PANCORAN;Kota Jakarta Selatan;2021;Mei;4387,36;2187,98;756,82;139,52;39,49;1006,90;30,71;47,38;64,93;18,43;34,22;61,42;5
391;PASAR - CAKUNG;Kota Jakarta Timur;2021;Mei;255,2;127,27;44,02;8,12;2,30;58,57;1,79;2,76;3,78;1,07;1,99;3,57;5
392;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Mei;370,22;184,63;63,86;11,77;3,33;84,97;2,59;4,00;5,48;1,55;2,89;5,18;5
393;PASAR - CENGKARENG;Kota Jakarta Barat;2021;Mei;126,32;63,00;21,79;4,02;1,14;28,99;0,88;1,36;1,87;0,53;0,99;1,77;5
394;PASAR - CILANDAK;Kota Jakarta Selatan;2021;Mei;134,5;67,08;23,20;4,28;1,21;30,87;0,94;1,45;1,99;0,56;1,05;1,88;5
395;PASAR - CILINCING;Kota Jakarta Utara;2021;Mei;143,06;71,34;24,68;4,55;1,29;32,83;1,00;1,55;2,12;0,60;1,12;2,00;5
396;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;Mei;92,84;46,30;16,01;2,95;0,84;21,31;0,65;1,00;1,37;0,39;0,72;1,30;5
397;PASAR - CIRACAS;Kota Jakarta Timur;2021;Mei;187,88;93,70;32,41;5,97;1,69;43,12;1,32;2,03;2,78;0,79;1,47;2,63;5
398;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;Mei;790,48;394,21;136,36;25,14;7,11;181,42;5,53;8,54;11,70;3,32;6,17;11,07;5
399;PASAR - GAMBIR;Kota Jakarta Pusat;2021;Mei;137,72;68,68;23,76;4,38;1,24;31,61;0,96;1,49;2,04;0,58;1,07;1,93;5
400;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Mei;278,14;138,71;47,98;8,84;2,50;63,83;1,95;3,00;4,12;1,17;2,17;3,89;5
401;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;Mei;188,7;94,10;32,55;6,00;1,70;43,31;1,32;2,04;2,79;0,79;1,47;2,64;5
402;PASAR - JATINEGARA;Kota Jakarta Timur;2021;Mei;355,52;177,30;61,33;11,31;3,20;81,59;2,49;3,84;5,26;1,49;2,77;4,98;5
403;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;Mei;13,82;6,89;2,38;0,44;0,12;3,17;0,10;0,15;0,20;0,06;0,11;0,19;5
404;PASAR - KALIDERES;Kota Jakarta Barat;2021;Mei;43;21,44;7,42;1,37;0,39;9,87;0,30;0,46;0,64;0,18;0,34;0,60;5
405;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;Mei;276,3;137,79;47,66;8,79;2,49;63,41;1,93;2,98;4,09;1,16;2,16;3,87;5
406;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Mei;378,18;188,60;65,24;12,03;3,40;86,79;2,65;4,08;5,60;1,59;2,95;5,29;5
407;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;Mei;314,72;156,95;54,29;10,01;2,83;72,23;2,20;3,40;4,66;1,32;2,45;4,41;5
408;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;Mei;27,54;13,73;4,75;0,88;0,25;6,32;0,19;0,30;0,41;0,12;0,21;0,39;5
409;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;Mei;284,48;141,87;49,07;9,05;2,56;65,29;1,99;3,07;4,21;1,19;2,22;3,98;5
410;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;Mei;348,32;173,71;60,09;11,08;3,13;79,94;2,44;3,76;5,16;1,46;2,72;4,88;5
411;PASAR - KOJA;Kota Jakarta Utara;2021;Mei;394,84;196,91;68,11;12,56;3,55;90,62;2,76;4,26;5,84;1,66;3,08;5,53;5
412;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;Mei;4852,96;2420,17;837,14;154,32;43,68;1113,75;33,97;52,41;71,82;20,38;37,85;67,94;5
413;PASAR - MAKASAR;Kota Jakarta Timur;2021;Mei;232,42;115,91;40,09;7,39;2,09;53,34;1,63;2,51;3,44;0,98;1,81;3,25;5
414;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Mei;97,06;48,40;16,74;3,09;0,87;22,28;0,68;1,05;1,44;0,41;0,76;1,36;5
415;PASAR - MATRAMAN;Kota jakarta Timur;2021;Mei;117,58;58,64;20,28;3,74;1,06;26,98;0,82;1,27;1,74;0,49;0,92;1,65;5
416;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;Mei;211,08;105,27;36,41;6,71;1,90;48,44;1,48;2,28;3,12;0,89;1,65;2,96;5
417;PASAR - PALMERAH;Kota Jakarta Barat;2021;Mei;23,22;11,58;4,01;0,74;0,21;5,33;0,16;0,25;0,34;0,10;0,18;0,33;5
418;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;Mei;546,9;272,74;94,34;17,39;4,92;125,51;3,83;5,91;8,09;2,30;4,27;7,66;5
419;PASAR - PASAR REBO;Kota Jakarta Timur;2021;Mei;90,92;45,34;15,68;2,89;0,82;20,87;0,64;0,98;1,35;0,38;0,71;1,27;5
420;PASAR - PENJARINGAN;Kota Jakarta Utara;2021;Mei;397,72;198,34;68,61;12,65;3,58;91,28;2,78;4,30;5,89;1,67;3,10;5,57;5
421;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2021;Mei;58,36;29,10;10,07;1,86;0,53;13,39;0,41;0,63;0,86;0,25;0,46;0,82;5
422;PASAR - PULOGADUNG;Kota Jakarta Timur;2021;Mei;386,6;192,80;66,69;12,29;3,48;88,72;2,71;4,18;5,72;1,62;3,02;5,41;5
423;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2021;Mei;207,06;103,26;35,72;6,58;1,86;47,52;1,45;2,24;3,06;0,87;1,62;2,90;5
424;PASAR - SENEN;Kota Jakarta Pusat;2021;Mei;596,76;297,60;102,94;18,98;5,37;136,96;4,18;6,45;8,83;2,51;4,65;8,35;5
425;PASAR - SETIABUDI;Kota Jakarta Selatan;2021;Mei;276,58;137,93;47,71;8,80;2,49;63,48;1,94;2,99;4,09;1,16;2,16;3,87;5
426;PASAR - TAMANSARI;Kota Jakarta Barat;2021;Mei;490,98;244,85;84,69;15,61;4,42;112,68;3,44;5,30;7,27;2,06;3,83;6,87;5
427;PASAR - TAMBORA;Kota Jakarta Barat;2021;Mei;286,28;142,77;49,38;9,10;2,58;65,70;2,00;3,09;4,24;1,20;2,23;4,01;5
428;PASAR - TANAH ABANG;Kota Jakarta Pusat;2021;Mei;330,36;164,75;56,99;10,51;2,97;75,82;2,31;3,57;4,89;1,39;2,58;4,63;5
429;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2021;Mei;252,26;125,80;43,51;8,02;2,27;57,89;1,77;2,72;3,73;1,06;1,97;3,53;5
430;PASAR - TEBET;Kota Jakarta Selatan;2021;Mei;220,52;109,97;38,04;7,01;1,98;50,61;1,54;2,38;3,26;0,93;1,72;3,09;5
431;PASAR MINGGU;Kota Jakarta Selatan;2021;Mei;6703,98;3343,27;1156,44;213,19;60,34;1538,56;46,93;72,40;99,22;28,16;52,29;93,86;5
432;PASAR REBO;Kota Jakarta Timur;2021;Mei;3644,96;1817,74;628,76;115,91;32,80;836,52;25,51;39,37;53,95;15,31;28,43;51,03;5
433;PENJARINGAN;Kota Jakarta Utara;2021;Mei;6677,86;3330,25;1151,93;212,36;60,10;1532,57;46,75;72,12;98,83;28,05;52,09;93,49;5
434;PESANGGRAHAN;Kota Jakarta Selatan;2021;Mei;4793,54;2390,54;826,89;152,43;43,14;1100,12;33,55;51,77;70,94;20,13;37,39;67,11;5
435;PKLB3;Lembaga ;2021;Mei;826,68;412,27;142,60;26,29;7,44;189,72;5,79;8,93;12,23;3,47;6,45;11,57;5
436;PULOGADUNG;Kota Jakarta Timur;2021;Mei;4894,72;2441,00;844,34;155,65;44,05;1123,34;34,26;52,86;72,44;20,56;38,18;68,53;5
437;SAWAH BESAR;Kota Jakarta Pusat;2021;Mei;2068,14;1031,38;356,75;65,77;18,61;474,64;14,48;22,34;30,61;8,69;16,13;28,95;5
438;SENEN;Kota Jakarta Pusat;2021;Mei;1646,2;820,96;283,97;52,35;14,82;377,80;11,52;17,78;24,36;6,91;12,84;23,05;5
439;SETIABUDI;Kota Jakarta Selatan;2021;Mei;2562,66;1278,00;442,06;81,49;23,06;588,13;17,94;27,68;37,93;10,76;19,99;35,88;5
440;TAMAN SARI;Kota Jakarta Barat;2021;Mei;2826,58;1409,62;487,59;89,89;25,44;648,70;19,79;30,53;41,83;11,87;22,05;39,57;5
441;TAMBORA;Kota Jakarta Barat;2021;Mei;5486,86;2736,30;946,48;174,48;49,38;1259,23;38,41;59,26;81,21;23,04;42,80;76,82;5
442;TANAH ABANG;Kota Jakarta Pusat;2021;Mei;2799,94;1396,33;482,99;89,04;25,20;642,59;19,60;30,24;41,44;11,76;21,84;39,20;5
443;TANJUNG PRIOK;Kota Jakarta Utara;2021;Mei;7351,42;3666,15;1268,12;233,78;66,16;1687,15;51,46;79,40;108,80;30,88;57,34;102,92;5
444;TEBET;Kota Jakarta Selatan;2021;Mei;3693,18;1841,79;637,07;117,44;33,24;847,58;25,85;39,89;54,66;15,51;28,81;51,70;5
445;UPK BADAN AIR;Lembaga ;2021;Mei;7294,48;3637,76;1258,30;231,96;65,65;1674,08;51,06;78,78;107,96;30,64;56,90;102,12;5
446;B2B;Lembaga ;2021;Juni;7077,36;3529,48;1220,84;225,06;63,70;1624,25;49,54;76,44;104,74;29,72;55,20;99,08;6
447;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2021;Juni;247,52;123,44;42,70;7,87;2,23;56,81;1,73;2,67;3,66;1,04;1,93;3,47;6
448;CAKUNG;Kota Jakarta Timur;2021;Juni;9233,82;4604,91;1592,83;293,64;83,10;2119,16;64,64;99,73;136,66;38,78;72,02;129,27;6
449;CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Juni;1390,68;693,53;239,89;44,22;12,52;319,16;9,73;15,02;20,58;5,84;10,85;19,47;6
450;CENGKARENG;Kota Jakarta Barat;2021;Juni;8889,82;4433,35;1533,49;282,70;80,01;2040,21;62,23;96,01;131,57;37,34;69,34;124,46;6
451;CILANDAK;Kota Jakarta Selatan;2021;Juni;3852,28;1921,13;664,52;122,50;34,67;884,10;26,97;41,60;57,01;16,18;30,05;53,93;6
452;CILINCING;Kota Jakarta Utara;2021;Juni;5607,98;2796,70;967,38;178,33;50,47;1287,03;39,26;60,57;83,00;23,55;43,74;78,51;6
453;CIPAYUNG;Kota Jakarta Timur;2021;Juni;3601,5;1796,07;621,26;114,53;32,41;826,54;25,21;38,90;53,30;15,13;28,09;50,42;6
454;CIRACAS;Kota Jakarta Timur;2021;Juni;4105,1;2047,21;708,13;130,54;36,95;942,12;28,74;44,34;60,76;17,24;32,02;57,47;6
455;DUREN SAWIT;Kota Jakarta Timur;2021;Juni;7069,88;3525,75;1219,55;224,82;63,63;1622,54;49,49;76,35;104,63;29,69;55,15;98,98;6
456;GAMBIR;Kota Jakarta Pusat;2021;Juni;1997,14;995,97;344,51;63,51;17,97;458,34;13,98;21,57;29,56;8,39;15,58;27,96;6
457;GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Juni;4702,72;2345,25;811,22;149,55;42,32;1079,27;32,92;50,79;69,60;19,75;36,68;65,84;6
458;JAGAKARSA;Kota Jakarta Selatan;2021;Juni;4982,44;2484,74;859,47;158,44;44,84;1143,47;34,88;53,81;73,74;20,93;38,86;69,75;6
459;JATINEGARA;Kota Jakarta Timur;2021;Juni;5661;2823,14;976,52;180,02;50,95;1299,20;39,63;61,14;83,78;23,78;44,16;79,25;6
460;JOHAR BARU;Kota Jakarta Pusat;2021;Juni;1634,32;815,04;281,92;51,97;14,71;375,08;11,44;17,65;24,19;6,86;12,75;22,88;6
461;KALIDERES;Kota Jakarta Barat;2021;Juni;7309,74;3645,37;1260,93;232,45;65,79;1677,59;51,17;78,95;108,18;30,70;57,02;102,34;6
462;KEBAYORAN BARU;Kota Jakarta Selatan;2021;Juni;5300,88;2643,55;914,40;168,57;47,71;1216,55;37,11;57,25;78,45;22,26;41,35;74,21;6
463;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Juni;6405,46;3194,40;1104,94;203,69;57,65;1470,05;44,84;69,18;94,80;26,90;49,96;89,68;6
464;KEBON JERUK;Kota Jakarta Barat;2021;Juni;2315,94;1154,96;399,50;73,65;20,84;531,51;16,21;25,01;34,28;9,73;18,06;32,42;6
465;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;Juni;291,78;145,51;50,33;9,28;2,63;66,96;2,04;3,15;4,32;1,23;2,28;4,08;6
466;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;Juni;124,34;62,01;21,45;3,95;1,12;28,54;0,87;1,34;1,84;0,52;0,97;1,74;6
467;KELAPA GADING;Kota Jakarta Utara;2021;Juni;3984,68;1987,16;687,36;126,71;35,86;914,48;27,89;43,03;58,97;16,74;31,08;55,79;6
468;KEMAYORAN;Kota Jakarta Pusat;2021;Juni;4480,5;2234,43;772,89;142,48;40,32;1028,27;31,36;48,39;66,31;18,82;34,95;62,73;6
469;KEMBANGAN;Kota Jakarta Barat;2021;Juni;5471,04;2728,41;943,75;173,98;49,24;1255,60;38,30;59,09;80,97;22,98;42,67;76,59;6
470;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;Juni;934,1;465,84;161,13;29,70;8,41;214,38;6,54;10,09;13,82;3,92;7,29;13,08;6
471;KOJA;Kota Jakarta Utara;2021;Juni;4235,56;2112,27;730,63;134,69;38,12;972,06;29,65;45,74;62,69;17,79;33,04;59,30;6
472;KRAMAT JATI;Kota Jakarta Timur;2021;Juni;3999,54;1994,57;689,92;127,19;36,00;917,89;28,00;43,20;59,19;16,80;31,20;55,99;6
473;MAKASAR;Kota Jakarta Timur;2021;Juni;3043,22;1517,65;524,96;96,77;27,39;698,42;21,30;32,87;45,04;12,78;23,74;42,61;6
474;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Juni;2833,46;1413,05;488,77;90,10;25,50;650,28;19,83;30,60;41,94;11,90;22,10;39,67;6
475;MATRAMAN;Kota Jakarta Timur;2021;Juni;2585,8;1289,54;446,05;82,23;23,27;593,44;18,10;27,93;38,27;10,86;20,17;36,20;6
476;MENTENG;Kota Jakarta Pusat;2021;Juni;2232,94;1113,57;385,18;71,01;20,10;512,46;15,63;24,12;33,05;9,38;17,42;31,26;6
477;Pademangan;Kota Jakarta Utara;2021;Juni;2929,6;1460,99;505,36;93,16;26,37;672,34;20,51;31,64;43,36;12,30;22,85;41,01;6
478;PALMERAH;Kota Jakarta Barat;2021;Juni;3877,32;1933,62;668,84;123,30;34,90;889,84;27,14;41,88;57,38;16,28;30,24;54,28;6
479;PANCORAN;Kota Jakarta Selatan;2021;Juni;4470,28;2229,33;771,12;142,15;40,23;1025,93;31,29;48,28;66,16;18,78;34,87;62,58;6
480;PASAR - CAKUNG;Kota Jakarta Timur;2021;Juni;241,78;120,58;41,71;7,69;2,18;55,49;1,69;2,61;3,58;1,02;1,89;3,38;6
481;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Juni;359,2;179,13;61,96;11,42;3,23;82,44;2,51;3,88;5,32;1,51;2,80;5,03;6
482;PASAR - CENGKARENG;Kota Jakarta Barat;2021;Juni;117,16;58,43;20,21;3,73;1,05;26,89;0,82;1,27;1,73;0,49;0,91;1,64;6
483;PASAR - CILANDAK;Kota Jakarta Selatan;2021;Juni;125,56;62,62;21,66;3,99;1,13;28,82;0,88;1,36;1,86;0,53;0,98;1,76;6
484;PASAR - CILINCING;Kota Jakarta Utara;2021;Juni;190,46;94,98;32,85;6,06;1,71;43,71;1,33;2,06;2,82;0,80;1,49;2,67;6
485;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;Juni;81,66;40,72;14,09;2,60;0,73;18,74;0,57;0,88;1,21;0,34;0,64;1,14;6
486;PASAR - CIRACAS;Kota Jakarta Timur;2021;Juni;167,06;83,31;28,82;5,31;1,50;38,34;1,17;1,80;2,47;0,70;1,30;2,34;6
487;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;Juni;784,44;391,20;135,32;24,95;7,06;180,03;5,49;8,47;11,61;3,29;6,12;10,98;6
488;PASAR - GAMBIR;Kota Jakarta Pusat;2021;Juni;143,6;71,61;24,77;4,57;1,29;32,96;1,01;1,55;2,13;0,60;1,12;2,01;6
489;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Juni;249,96;124,66;43,12;7,95;2,25;57,37;1,75;2,70;3,70;1,05;1,95;3,50;6
490;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;Juni;185,36;92,44;31,97;5,89;1,67;42,54;1,30;2,00;2,74;0,78;1,45;2,60;6
491;PASAR - JATINEGARA;Kota Jakarta Timur;2021;Juni;375,2;187,11;64,72;11,93;3,38;86,11;2,63;4,05;5,55;1,58;2,93;5,25;6
492;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;Juni;12,18;6,07;2,10;0,39;0,11;2,80;0,09;0,13;0,18;0,05;0,10;0,17;6
493;PASAR - KALIDERES;Kota Jakarta Barat;2021;Juni;36;17,95;6,21;1,14;0,32;8,26;0,25;0,39;0,53;0,15;0,28;0,50;6
494;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;Juni;284,32;141,79;49,05;9,04;2,56;65,25;1,99;3,07;4,21;1,19;2,22;3,98;6
495;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Juni;381,86;190,43;65,87;12,14;3,44;87,64;2,67;4,12;5,65;1,60;2,98;5,35;6
496;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;Juni;355,96;177,52;61,40;11,32;3,20;81,69;2,49;3,84;5,27;1,50;2,78;4,98;6
497;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;Juni;34,3;17,11;5,92;1,09;0,31;7,87;0,24;0,37;0,51;0,14;0,27;0,48;6
498;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;Juni;265,06;132,19;45,72;8,43;2,39;60,83;1,86;2,86;3,92;1,11;2,07;3,71;6
499;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;Juni;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;6
500;PASAR - KOJA;Kota Jakarta Utara;2021;Juni;380,92;189,96;65,71;12,11;3,43;87,42;2,67;4,11;5,64;1,60;2,97;5,33;6
501;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;Juni;4757,08;2372,36;820,60;151,28;42,81;1091,75;33,30;51,38;70,40;19,98;37,11;66,60;6
502;PASAR - MAKASAR;Kota Jakarta Timur;2021;Juni;222,62;111,02;38,40;7,08;2,00;51,09;1,56;2,40;3,29;0,94;1,74;3,12;6
503;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Juni;81,7;40,74;14,09;2,60;0,74;18,75;0,57;0,88;1,21;0,34;0,64;1,14;6
504;PASAR - MATRAMAN;Kota jakarta Timur;2021;Juni;104,62;52,17;18,05;3,33;0,94;24,01;0,73;1,13;1,55;0,44;0,82;1,46;6
505;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;Juni;229,46;114,43;39,58;7,30;2,07;52,66;1,61;2,48;3,40;0,96;1,79;3,21;6
506;PASAR - PALMERAH;Kota Jakarta Barat;2021;Juni;20,06;10,00;3,46;0,64;0,18;4,60;0,14;0,22;0,30;0,08;0,16;0,28;6
507;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;Juni;544,08;271,33;93,85;17,30;4,90;124,87;3,81;5,88;8,05;2,29;4,24;7,62;6
508;PASAR - PASAR REBO;Kota Jakarta Timur;2021;Juni;87,9;43,84;15,16;2,80;0,79;20,17;0,62;0,95;1,30;0,37;0,69;1,23;6
509;PASAR - PENJARINGAN;Kota Jakarta Utara;2021;Juni;438,56;218,71;75,65;13,95;3,95;100,65;3,07;4,74;6,49;1,84;3,42;6,14;6
510;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2021;Juni;55,82;27,84;9,63;1,78;0,50;12,81;0,39;0,60;0,83;0,23;0,44;0,78;6
511;PASAR - PULOGADUNG;Kota Jakarta Timur;2021;Juni;346,1;172,60;59,70;11,01;3,11;79,43;2,42;3,74;5,12;1,45;2,70;4,85;6
512;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2021;Juni;170,6;85,08;29,43;5,43;1,54;39,15;1,19;1,84;2,52;0,72;1,33;2,39;6
513;PASAR - SENEN;Kota Jakarta Pusat;2021;Juni;643,1;320,71;110,93;20,45;5,79;147,59;4,50;6,95;9,52;2,70;5,02;9,00;6
514;PASAR - SETIABUDI;Kota Jakarta Selatan;2021;Juni;284,76;142,01;49,12;9,06;2,56;65,35;1,99;3,08;4,21;1,20;2,22;3,99;6
515;PASAR - TAMANSARI;Kota Jakarta Barat;2021;Juni;538,58;268,59;92,91;17,13;4,85;123,60;3,77;5,82;7,97;2,26;4,20;7,54;6
516;PASAR - TAMBORA;Kota Jakarta Barat;2021;Juni;392,96;195,97;67,79;12,50;3,54;90,18;2,75;4,24;5,82;1,65;3,07;5,50;6
517;PASAR - TANAH ABANG;Kota Jakarta Pusat;2021;Juni;291,2;145,22;50,23;9,26;2,62;66,83;2,04;3,14;4,31;1,22;2,27;4,08;6
518;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2021;Juni;312,98;156,08;53,99;9,95;2,82;71,83;2,19;3,38;4,63;1,31;2,44;4,38;6
519;PASAR - TEBET;Kota Jakarta Selatan;2021;Juni;193,18;96,34;33,32;6,14;1,74;44,33;1,35;2,09;2,86;0,81;1,51;2,70;6
520;PASAR MINGGU;Kota Jakarta Selatan;2021;Juni;6600,38;3291,61;1138,57;209,89;59,40;1514,79;46,20;71,28;97,69;27,72;51,48;92,41;6
521;PASAR REBO;Kota Jakarta Timur;2021;Juni;3572,68;1781,70;616,29;113,61;32,15;819,93;25,01;38,58;52,88;15,01;27,87;50,02;6
522;PENJARINGAN;Kota Jakarta Utara;2021;Juni;6968,34;3475,11;1202,04;221,59;62,72;1599,23;48,78;75,26;103,13;29,27;54,35;97,56;6
523;PESANGGRAHAN;Kota Jakarta Selatan;2021;Juni;4801,86;2394,69;828,32;152,70;43,22;1102,03;33,61;51,86;71,07;20,17;37,45;67,23;6
524;PKLB3;Lembaga ;2021;Juni;4458,3;2223,35;769,06;141,77;40,12;1023,18;31,21;48,15;65,98;18,72;34,77;62,42;6
525;PULOGADUNG;Kota Jakarta Timur;2021;Juni;4896,4;2441,83;844,63;155,71;44,07;1123,72;34,27;52,88;72,47;20,56;38,19;68,55;6
526;SAWAH BESAR;Kota Jakarta Pusat;2021;Juni;2216,18;1105,21;382,29;70,47;19,95;508,61;15,51;23,93;32,80;9,31;17,29;31,03;6
527;SENEN;Kota Jakarta Pusat;2021;Juni;1616,58;806,19;278,86;51,41;14,55;371,01;11,32;17,46;23,93;6,79;12,61;22,63;6
528;SETIABUDI;Kota Jakarta Selatan;2021;Juni;2856,94;1424,76;492,82;90,85;25,71;655,67;20,00;30,85;42,28;12,00;22,28;40,00;6
529;TAMAN SARI;Kota Jakarta Barat;2021;Juni;2877,08;1434,80;496,30;91,49;25,89;660,29;20,14;31,07;42,58;12,08;22,44;40,28;6
530;TAMBORA;Kota Jakarta Barat;2021;Juni;6192,68;3088,29;1068,24;196,93;55,73;1421,22;43,35;66,88;91,65;26,01;48,30;86,70;6
531;TANAH ABANG;Kota Jakarta Pusat;2021;Juni;3013,76;1502,96;519,87;95,84;27,12;691,66;21,10;32,55;44,60;12,66;23,51;42,19;6
532;TANJUNG PRIOK;Kota Jakarta Utara;2021;Juni;7419,24;3699,97;1279,82;235,93;66,77;1702,72;51,93;80,13;109,80;31,16;57,87;103,87;6
